5500002	Carrefour Market	SAINT BONNET EN CHAMPSAUR
5560001	Intermarché	INTERMARCHE
5560002	Avia	VIA-ALTITUDE
5600002	Intermarché	INTERMARCHE GUILLESTRE
5600004	Intermarché	INTERMARCHE
5600005	Intermarché	INTERMARCHE
5600006	Carrefour Market	Carrefour market
5700001	Système U	U EXPRESS
5700002	Indépendant sans enseigne	Station-service Les Chambons
6000007	Avia	TERRIN SARL
6000026	TotalEnergies	RELAIS NICE ARMEE DES ALPES
6000028	TotalEnergies	RELAIS PARC IMPERIAL
6000032	Esso	ESSO NICE GAMBETTA
6000036	Esso	ESSO NICE FALICON
6000037	Avia	RELAIS DU PAILLON - Avia
6100006	Esso	ESSO NICE GORBELLA
6110002	Avia	SARL CHENEAU
6110004	Esso Express	ESSO MOULIERES
6110006	Leclerc	Leclerc Le Cannet Rocheville
6110008	Indépendant sans enseigne	station service La Roseraie
6110009	TotalEnergies Access	RELAIS LE CANNET LA FRAYERE
6110010	Intermarché	INTERMARCHE SUPER LE CANNET
6130001	Auchan	AUCHAN GRASSE
6130007	Leclerc	HYPER LECLERC GRASSE
6130008	Esso Express	ESSO PARFUMS
6130009	Esso	ESSO DE LA PAOUTE
6130010	TotalEnergies	RELAIS DE GRASSE MOULIN
6130012	Système U	Station U
6130013	Indépendant sans enseigne	Station des Campanettes - Saint Jacques
6140004	TotalEnergies	RELAIS VENCE LA ROCADE
6140005	Carrefour Contact	Carrefour Contact Vence
6150005	Intermarché	INTERMARCHE CANNES LA BOCCA
6150007	Leclerc	E.LECLERC CANNES LA BOCCA
6150008	TotalEnergies Access	RELAIS ST CASSIEN
6150011	ENI	ENI CANNES
6156001	Carrefour Market	Carrefour Market
6160008	ENI	AGIP ANTIBES JUAN LES PINS
6190004	Esso	STATION SERVICE DU STADE
6190008	TotalEnergies Access	RELAIS DU GORBIO
6190011	ENI	Eni
6200014	Esso Express	Esso La Manda
6200026	TotalEnergies Access	RELAIS NICE PR.D.ANGLAIS
6200027	TotalEnergies Access	RELAIS STE MARGUERITE GRENOBLE
6200028	TotalEnergies	RELAIS DES PERGOLAS
6200031	Dyneff	Dyneff Nice
6200032	Esso Express	ESSO NICE ARENAS
6200033	TotalEnergies	TOTALENERGIES NICE GRAND SOLEIL
6201001	Carrefour	CARREFOUR NICE LINGOSTIERE
6201002	Leclerc	CENTRE E.LECLERC SAINT ISIDORE
6210009	Esso	ESSO MANDELIEU RELAIS L'ESTEREL
6210010	Auchan	AUCHAN MANDELIEU-LA-NAPOULE
6220003	Intermarché	INTERMARCHE VALLAURIS
6220005	TotalEnergies	RELAIS BATTERIE
6220006	Leclerc	E.LECLERC VALLAURIS
6230002	Esso Express	ESSO CORNE D'OR
6230003	TotalEnergies	RELAIS PONT ST JEAN
6240004	Indépendant sans enseigne	L'Español
6240006	Leclerc	SODIPLEC RIVIERA FRANCAISE
6250001	Carrefour Market	Carrefour Market
6250006	Shell	SARL ROCAMAR
6250009	TotalEnergies	RELAIS DE LA CÔTE D'AZUR
6250010	TotalEnergies Access	RELAIS MOUGINS LES CAMPELIER
6250011	Esso	ESSO MOUGINS SAINT MARTIN
6260001	TotalEnergies	JM KUCINIC
6260002	Carrefour Market	CARREFOUR MARKET PUGET THENIERS
6270003	Intermarché	INTERMARCHE VILLENEUVE LOUBET
6270004	Intermarché	SAS CALAO 133
6296001	Indépendant sans enseigne	STATION DU MIN
6300008	Esso Express	ESSO ST ROCH NICE
6300012	Dyneff	STATION DES OLIVIERS
6300016	TotalEnergies	RELAIS DE SEMERIA
6300018	TotalEnergies Access	RELAIS ROQUEBILLIERE
6300019	TotalEnergies	STATION SERVICE RRB
6310002	TotalEnergies	RELAIS PLAISANCIERS
6320003	Esso	ESSO VIA JULIA AUGUSTA
6320004	Indépendant sans enseigne	C'TNT
6320006	TotalEnergies	RELAIS CAP D'AIL BASSE CORNICHE
6330002	Intermarché	INTERMARCHE ROQUEFORT LES PINS
6330003	TotalEnergies	Relais de roquefort les pins
6340001	Indépendant sans enseigne	GARAGE DE LA VALLEE - BARNOIN
6340002	Intermarché	INTERMARCHE CANTARON
6345001	Auchan	AUCHAN NICE LA TRINITE
6370002	Auchan	AUCHAN SUPERMARCHÉ MOUANS-SARTOUX
6380002	Indépendant sans enseigne	Station-Service communale de Sospel
6400001	TotalEnergies	SARL MONTFLEURY
6400004	Esso Express	ESSO CALIFORNIE
6400005	Avia	Station de la californie
6400010	TotalEnergies	RELAIS CANNES RIOU
6400013	Esso Express	ESSO CANNES VALLOMBROSA
6410003	Avia	D R T STATION ST GREGOIRE
6420001	Dyneff	SP AUTO
6430001	Avia	Bati Roya Energie
6440001	Intermarché	SAS CANTA
6450002	Indépendant sans enseigne	Station Vesubienne
6450003	Carrefour Market	CARREFOUR MARKET
6460002	Intermarché Contact	INTERMARCHE ST VALLIER DE THIEY
6480002	Leclerc	AUREDIS CENTRE E.LECLERC
6500004	Intermarché	INTERMARCHE MENTON BORRIGO
6500005	Intermarché	INTERMARCHE MENTON CAREÏ
6500008	TotalEnergies	RELAIS MENTON GARAVAN ROUTE
6500010	Esso	ESSO MENTON UNION
6510001	TotalEnergies	Station Total Carros
6510003	Intermarché	INTERMARCHE GATTIERES
6520001	Esso Express	ESSO MAGAGNOSC
6530002	Intermarché	INTERMARCHE PEYMEINADE
6530008	Carrefour Contact	CARREFOUR CONTACT
6530009	Carrefour Market	CARREFOUR MARKET
6540002	ENI	STATION ENI
6550002	Intermarché	INTERMARCHE LA ROQUETTE/SIAGNE
6560001	Carrefour Market	Carrefour Market
6560006	TotalEnergies	TOTAL VALBONNE
6580001	Système U	SUPER U
6600001	Carrefour	Carrefour Antibes station service
6600007	Avia	ETS SARL CHENEAU
6600008	Esso Express	ESSO DU CAP
6600009	Esso Express	ESSO DUGOMMIER
6600010	Esso Express	ESSO TERRES BLANCHES
6600012	TotalEnergies	RELAIS DE LA BRAGUE
6600022	TotalEnergies	RELAIS FORT CARRE
6600023	TotalEnergies	RELAIS RIVIERA
6600024	TotalEnergies Access	RELAIS DES BASTIDES
6600026	Auchan	AUCHAN SUPERMARCHÉ ANTIBES (ROUTE DE GRASSE)
6600027	Intermarché	INTERMARCHE ANTIBES
6610002	Dyneff	LIFTING AUTO STATION DYNEFF
6610005	Carrefour Contact	CARREFOUR CONTACT
6640001	Esso	STATION DES BAOUS
6650002	Indépendant sans enseigne	Delpy
6650003	Avia	SARL LSWD
6650004	Intermarché	INTERMARCHE LE ROURET
6670007	TotalEnergies Access	RELAIS COLOMARS LES VALLEES
6670008	Avia	Energies Services
6670010	Elan	SARL GARIN LA CASCADE
6670011	ENI	ENI COLOMARS
6700002	Avia	CHENEAU SARL
6700005	Indépendant sans enseigne	BOCCANERA
6700006	TotalEnergies	RELAIS DE GAULLE
6700008	TotalEnergies	GARAGE UNIVERSEL
6750002	Indépendant sans enseigne	STATION VILLAUTE - GIRARDIN
6770002	TotalEnergies Access	RELAIS DE CARROS
6800006	ENI	AGIP CROS DE CAGNES BD DE LA PLAGE
6800017	TotalEnergies	RELAIS VAL FLEURI
6800018	TotalEnergies	RELAIS DU PALMIER
6800019	TotalEnergies Access	RELAIS DES OLIVIERS
6800020	TotalEnergies Access	RELAIS GRANDS PLANS
6800025	Esso	ESSO CAGNES PENETRANTE
6800029	Esso	ESSO CAGNES SUR MER MALVAN
6800031	ENI	ENI CAGNES SUR MER
6910002	Proxi	EPICERIE DE L'ESTERON PROXI
7000002	Intermarché	INTERMARCHE PRIVAS
7000003	ENI	STATION AGIP Veyras
7100002	Système U	SUPER U
7100006	TotalEnergies	CLUZEL SE
7100007	Intermarché	INTERMARCHE
7100008	Indépendant sans enseigne	STATION BROSSIER ENERGIES
7110004	Carrefour Contact	CARREFOUR CONTACT
7110006	Indépendant sans enseigne	Carburant Sud Ardeche
7120001	Système U	SUPER U
7120004	TotalEnergies	SNC LIXSO
7120005	TotalEnergies	RELAIS PRADONS
7130002	Avia	EURL JLC
7130005	TotalEnergies	TOTAL CORNAS
7140001	Carrefour Market	Carrefour Market
7140002	Système U	SUPER U
7150001	Elan	GARAGE DU PONT
7150003	Intermarché	INTERMARCHE VALLON PONT D'ARC
7160001	Système U	SUPER U
7160003	Intermarché	INTERMARCHE LE CHEYLARD
7170001	TotalEnergies	SARL GARAGE GABRIEL
7170002	ENI	AGIP LAVILLEDIEU RN 102
7170003	Intermarché	INTERMARCHE VILLENEUVE DE BERG
7190001	Carrefour Contact	Carrefour Contact
7190002	TotalEnergies	LE MOULINON AUTO
7200003	Avia	LUTETIA RETAIL
7200006	Leclerc	CENTRE E LECLERC  AUBENAS
7200007	Intermarché	INTERMARCHE HYPER
7200008	TotalEnergies Access	RELAIS DE FONTBONNE
7200010	Carrefour Market	AMS Distrib
7200011	Dyneff	SARL SEB AUTO SERVICE
7200014	Indépendant sans enseigne	RELAIS TABAC PRESSE
7200015	Netto	NETTO ST DIDIER SOUS L'AUBENAS
7200016	TotalEnergies	MVL AUTOMOBILES
7210001	Système U	SUPER U
7220003	Carrefour Contact	CARREFOUR CONTACT VIVIERS
7230001	Netto	SAS RANDRE
7240002	Intermarché	INTERMARCHE VERNOUX EN VIVARAIS
7250001	TotalEnergies	Station TOTAL TF Distribution
7250004	Avia	Station avia méhari sun
7260001	Carrefour Market	Carrefour Market
7260002	Intermarché	INTERMARCHE ROSIERES
7270001	Système U	SUPER U
7290000	Indépendant sans enseigne	STATION 3C
7300001	Carrefour Market	Carrefour Market
